DATE_TIME,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,hour,minute,day_of_week,day_of_year,month,hour_sin,hour_cos,day_sin,day_cos
2020-05-24 16:45:00,0.20429043572874006,8716.7785715,168173.160714,152349595.161,2.041202096139945,0.7289256293092762,0.39133373629039153,16,45,6,145,5,-1.2071064489800205,-0.6875913852607494,-0.01326183103079578,-0.4427719560362599
2020-05-24 17:00:00,0.19537659894303552,8647.9589286,170384.446429,152351806.446,2.0802704851191067,0.8311267849264132,0.36139767346039997,17,0,6,145,5,-1.3482032392547534,-0.3459474317775844,-0.01326183103079578,-0.4427719560362599
2020-05-24 17:15:00,-0.1386217406321082,5678.1732142,172188.410713,152353610.412,1.977736886753742,0.6612873832823412,0.039700028265763125,17,15,6,145,5,-1.3482032392547534,-0.3459474317775844,-0.01326183103079578,-0.4427719560362599
2020-05-24 17:30:00,-0.3554455722605847,3749.5839284999997,173353.839285,152354775.84,1.8013408337842305,0.39309781139530264,-0.1731698255966396,17,30,6,145,5,-1.3482032392547534,-0.3459474317775844,-0.01326183103079578,-0.4427719560362599
2020-05-24 17:45:00,-0.513819150429343,2333.3339285,174105.732142,152355527.733,1.6307646959979143,0.1943467349247116,-0.34019840906554033,17,45,6,145,5,-1.3482032392547534,-0.3459474317775844,-0.01326183103079578,-0.4427719560362599
2020-05-24 18:00:00,-0.6305869103119223,1303.60535714,174560.125,152355982.125,1.4471687657063381,0.026739195200523452,-0.48458753196091925,18,0,6,145,5,-1.3963287268286755,0.020681690505928926,-0.01326183103079578,-0.4427719560362599
2020-05-24 18:15:00,-0.6888351745878311,793.00357142,174817.999999,152356240.001,1.2650070777761027,-0.09207395270681826,-0.5477961510245332,18,15,6,145,5,-1.3963287268286755,0.020681690505928926,-0.01326183103079578,-0.4427719560362599
2020-05-24 18:30:00,-0.7432001421141049,318.42321428,174961.232144,152356383.231,1.1246503840533777,-0.17672780959915957,-0.6011467235445017,18,30,6,145,5,-1.3963287268286755,0.020681690505928926,-0.01326183103079578,-0.4427719560362599
2020-05-24 18:45:00,-0.7797465365117797,0.0,174989.0,152356411.0,0.9743742943203091,-0.24227244324847444,-0.6351654810801669,18,45,6,145,5,-1.3963287268286755,0.020681690505928926,-0.01326183103079578,-0.4427719560362599
2020-05-24 19:00:00,-0.7797465365117797,0.0,174989.0,152356411.0,0.8569080667988552,-0.2923405627547516,-0.6394641633915948,19,0,6,145,5,-1.3482032392547536,0.38731081278944235,-0.01326183103079578,-0.4427719560362599
2020-05-24 19:15:00,-0.7797465365117797,0.0,174989.0,152356411.0,0.7404435918082838,-0.31621069695323323,-0.6394641633915948,19,15,6,145,5,-1.3482032392547536,0.38731081278944235,-0.01326183103079578,-0.4427719560362599
2020-05-24 19:30:00,-0.7797465365117797,0.0,174989.0,152356411.0,0.6262292511766014,-0.33262624262414814,-0.6394641633915948,19,30,6,145,5,-1.3482032392547536,0.38731081278944235,-0.01326183103079578,-0.4427719560362599
2020-05-24 19:45:00,-0.7797465365117797,0.0,174989.0,152356411.0,0.5297148802764643,-0.3493038665819953,-0.6394641633915948,19,45,6,145,5,-1.3482032392547536,0.38731081278944235,-0.01326183103079578,-0.4427719560362599
2020-05-24 20:00:00,-0.7797465365117797,0.0,174989.0,152356411.0,0.45180559394242553,-0.34057708734612846,-0.6394641633915948,20,0,6,145,5,-1.207106448980021,0.7289547662726072,-0.01326183103079578,-0.4427719560362599
2020-05-24 20:15:00,-0.7797465365117797,0.0,174989.0,152356411.0,0.3486581286500434,-0.3784978063167315,-0.6394641633915948,20,15,6,145,5,-1.207106448980021,0.7289547662726072,-0.01326183103079578,-0.4427719560362599
2020-05-24 20:30:00,-0.7797465365117797,0.0,174989.0,152356411.0,0.29315387759801587,-0.38831338735294546,-0.6394641633915948,20,30,6,145,5,-1.207106448980021,0.7289547662726072,-0.01326183103079578,-0.4427719560362599
2020-05-24 20:45:00,-0.7797465365117797,0.0,174989.0,152356411.0,0.25534721431690355,-0.39120823789779,-0.6394641633915948,20,45,6,145,5,-1.207106448980021,0.7289547662726072,-0.01326183103079578,-0.4427719560362599
2020-05-24 21:00:00,-0.7797465365117797,0.0,174989.0,152356411.0,0.22753356919168963,-0.42957225388647124,-0.6394641633915948,21,0,6,145,5,-0.9826538690882308,1.0223310801188716,-0.01326183103079578,-0.4427719560362599
2020-05-24 21:15:00,-0.7797465365117797,0.0,174989.0,152356411.0,0.028233568066185794,-0.5247394843678694,-0.6394641633915948,21,15,6,145,5,-0.9826538690882308,1.0223310801188716,-0.01326183103079578,-0.4427719560362599
2020-05-24 21:30:00,-0.7797465365117797,0.0,174989.0,152356411.0,-0.19449921243540041,-0.573188786100532,-0.6394641633915948,21,30,6,145,5,-0.9826538690882308,1.0223310801188716,-0.01326183103079578,-0.4427719560362599
2020-05-24 21:45:00,-0.7797465365117797,0.0,174989.0,152356411.0,-0.27565492699942784,-0.5786475044249871,-0.6394641633915948,21,45,6,145,5,-0.9826538690882308,1.0223310801188716,-0.01326183103079578,-0.4427719560362599
2020-05-24 22:00:00,-0.7797465365117797,0.0,174989.0,152356411.0,-0.3400123216041559,-0.5793259899682764,-0.6394641633915948,22,0,6,145,5,-0.6901415719735823,1.2474466433668958,-0.01326183103079578,-0.4427719560362599
2020-05-24 22:15:00,-0.7797465365117797,0.0,174989.0,152356411.0,-0.36415402194498653,-0.570718497155875,-0.6394641633915948,22,15,6,145,5,-0.6901415719735823,1.2474466433668958,-0.01326183103079578,-0.4427719560362599
2020-05-24 22:30:00,-0.7797465365117797,0.0,174989.0,152356411.0,-0.39797661154233094,-0.574798930185094,-0.6394641633915948,22,30,6,145,5,-0.6901415719735823,1.2474466433668958,-0.01326183103079578,-0.4427719560362599
2020-05-24 22:45:00,-0.7797465365117797,0.0,174989.0,152356411.0,-0.47256005369803306,-0.5692787193588232,-0.6394641633915948,22,45,6,145,5,-0.6901415719735823,1.2474466433668958,-0.01326183103079578,-0.4427719560362599
2020-05-24 23:00:00,-0.7797465365117797,0.0,174989.0,152356411.0,-0.5011651973000376,-0.5774457536165242,-0.6394641633915948,23,0,6,145,5,-0.3495037872850116,1.3889602024023853,-0.01326183103079578,-0.4427719560362599
2020-05-24 23:15:00,-0.7797465365117797,0.0,174989.0,152356411.0,-0.5414743288602677,-0.5967845212095051,-0.6394641633915948,23,15,6,145,5,-0.3495037872850116,1.3889602024023853,-0.01326183103079578,-0.4427719560362599
2020-05-24 23:30:00,-0.7797465365117797,0.0,174989.0,152356411.0,-0.543270354506867,-0.5970790698799093,-0.6394641633915948,23,30,6,145,5,-0.3495037872850116,1.3889602024023853,-0.01326183103079578,-0.4427719560362599
2020-05-24 23:45:00,-0.7797465365117797,0.0,161031.857143,152356411.0,-0.6615768776153029,-0.6106826914153884,-0.6394641633915948,23,45,6,145,5,-0.3495037872850116,1.3889602024023853,-0.01326183103079578,-0.4427719560362599
2020-05-25 00:00:00,-0.7797465365117797,0.0,5213.678572,152356411.0,-0.7382853738673946,-0.6289754688777809,-0.6394641633915948,0,0,0,146,5,0.01604558288151234,1.437227842039285,-0.0896061600358868,-0.46188653888362463
2020-05-25 00:15:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.7224781393978837,-0.6304637188955978,-0.6394641633915948,0,15,0,146,5,0.01604558288151234,1.437227842039285,-0.0896061600358868,-0.46188653888362463
2020-05-25 00:30:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.656726938227298,-0.6184152770187348,-0.6394641633915948,0,30,0,146,5,0.01604558288151234,1.437227842039285,-0.0896061600358868,-0.46188653888362463
2020-05-25 00:45:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.6477029896859177,-0.6121019722317003,-0.6394641633915948,0,45,0,146,5,0.01604558288151234,1.437227842039285,-0.0896061600358868,-0.46188653888362463
2020-05-25 01:00:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.6509366853582184,-0.6137120087041887,-0.6394641633915948,1,0,0,146,5,0.38159495304803503,1.3889602024023857,-0.0896061600358868,-0.46188653888362463
2020-05-25 01:15:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.6418703678359136,-0.6137944442309888,-0.6394641633915948,1,15,0,146,5,0.38159495304803503,1.3889602024023857,-0.0896061600358868,-0.46188653888362463
2020-05-25 01:30:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.6640735161320714,-0.6274207676250114,-0.6394641633915948,1,30,0,146,5,0.38159495304803503,1.3889602024023857,-0.0896061600358868,-0.46188653888362463
2020-05-25 01:45:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.6701811235424284,-0.6303584446557703,-0.6394641633915948,1,45,0,146,5,0.38159495304803503,1.3889602024023857,-0.0896061600358868,-0.46188653888362463
2020-05-25 02:00:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.6714477627534743,-0.6268752134041411,-0.6394641633915948,2,0,0,146,5,0.7222327377366062,1.2474466433668963,-0.0896061600358868,-0.46188653888362463
2020-05-25 02:15:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.6781388599008701,-0.6305889933850745,-0.6394641633915948,2,15,0,146,5,0.7222327377366062,1.2474466433668963,-0.0896061600358868,-0.46188653888362463
2020-05-25 02:30:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.6970710684989562,-0.6296774481641078,-0.6394641633915948,2,30,0,146,5,0.7222327377366062,1.2474466433668963,-0.0896061600358868,-0.46188653888362463
2020-05-25 02:45:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.7259576919561584,-0.6361322012232911,-0.6394641633915948,2,45,0,146,5,0.7222327377366062,1.2474466433668963,-0.0896061600358868,-0.46188653888362463
2020-05-25 03:00:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.7349318206977296,-0.6460503708762904,-0.6394641633915948,3,0,0,146,5,1.0147450348512552,1.0223310801188719,-0.0896061600358868,-0.46188653888362463
2020-05-25 03:15:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.729538052080258,-0.649898437467926,-0.6394641633915948,3,15,0,146,5,1.0147450348512552,1.0223310801188719,-0.0896061600358868,-0.46188653888362463
2020-05-25 03:30:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.7256989673045915,-0.6521038034238908,-0.6394641633915948,3,30,0,146,5,1.0147450348512552,1.0223310801188719,-0.0896061600358868,-0.46188653888362463
2020-05-25 03:45:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.7337127027520206,-0.6564611429819022,-0.6394641633915948,3,45,0,146,5,1.0147450348512552,1.0223310801188719,-0.0896061600358868,-0.46188653888362463
2020-05-25 04:00:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.7540005001055643,-0.659073808547788,-0.6394641633915948,4,0,0,146,5,1.2391976147430457,0.7289547662726072,-0.0896061600358868,-0.46188653888362463
2020-05-25 04:15:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.7799575622625541,-0.6669126946046448,-0.6394641633915948,4,15,0,146,5,1.2391976147430457,0.7289547662726072,-0.0896061600358868,-0.46188653888362463
2020-05-25 04:30:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.7684822338948141,-0.6585100842623093,-0.6394641633915948,4,30,0,146,5,1.2391976147430457,0.7289547662726072,-0.0896061600358868,-0.46188653888362463
2020-05-25 04:45:00,-0.7797465365117797,0.0,0.0,152356411.0,-0.7598387000010586,-0.6594582838709382,-0.6394641633915948,4,45,0,146,5,1.2391976147430457,0.7289547662726072,-0.0896061600358868,-0.46188653888362463
